deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
Level Up,Esika with Zirda,mid,5,0,0,5,LGS,TRUE,TRUE,TRUE,TRUE,TRUE,WUBRG,Nana Qi&Jesper Ejsing,Kaldheim,0WLCVK5L7kCZUuW1V2PMtg,level up&legendary creatures,Brighton
Withered,Belbe,mid,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,FALSE,TRUE,Golgari,Igor Kieryluk,Rath,fVhwrwucxEW7YLGFQBD5Sw,eldrazi&ping,Ennepetal
Voodoo Child,Marchesa,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Ryan Pancoast,Fiora,8gPdUM255UuiuzsmijAz_g,crimes&maths&combat,Ennepetal
I Trädens Sång,Kirri,mid,1,0,0,1,Unfinished,TRUE,FALSE,FALSE,TRUE,TRUE,Naya,Simon Dominic,Thunder Junction,Iy3S7GsQ3UOPUBW1gGDFzg,deserts&landfall&treefolk&delirium,Brighton
The Apocalypse Element,Romana II & The Sixth Doctor,mid,1,1,0,0,LGS,TRUE,TRUE,FALSE,FALSE,TRUE,Bant,Tyukina Tatiana&Mike Uziel,Tardis&Tardis,IWu41vcjTUWk63u3apLR_A,sagas,Ennepetal
Excavation,Vazi,mid,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,TRUE,TRUE,Jund,José Parodi,New Capenna,hSq0KzuFu0KCjNhyYX3fQQ,treasures,Ennepetal
Shattergang Revenge,Shattergang,mid,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,TRUE,TRUE,Jund,Kev Walker,Ravnica,klK6FzAHD0CaDtXlE585cw,sacrifice,Ennepetal
Baryonyx,Rayami,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Kieran Yanner,Zendikar,exyqlUDDoU2ZdKZyrwmqVQ,sacrifice&food chain,Brighton
Dawnheart,Katilda and Lier,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,FALSE,TRUE,Bant,Justyna Dura&Justyna Dura,Innistrad&Innistrad,pQQtTeBzeUupUqcGz-uz-w,spellslinger&humans,Ennepetal
Dungeons & Angels,Sen Triplets,mid,0,0,0,0,Unfinished,TRUE,TRUE,TRUE,FALSE,FALSE,Esper,Greg Staples,Alara,QomJJkNFoUGqgWUuRu7pjQ,dungeons&angels,Ennepetal
#$@&%*! Humans,Lynde,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,TRUE,FALSE,Grixis,Anna Steinbauer,Innistrad,IZYzpviyfkK5k6VQFVJmsg,curses,Ennepetal
Gems of the Planescape,Amareth,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,FALSE,TRUE,Bant,Lie Setiawan,Unknown,COB2DgbwfUCfhiVB--soNw,creatures,Ennepetal
The Hand That Feeds,Beamtown Bullies,mid,0,0,0,0,Unfinished,FALSE,FALSE,TRUE,TRUE,TRUE,Jund,Tyler Jacobson,New Capenna,j0IBfAzGS0SFyCtNaENDGA,gifts,Ennepetal
And They Were Hunters,Neyith,mid,0,0,0,0,Unfinished,FALSE,FALSE,FALSE,TRUE,TRUE,Gruul,Magali Villeneuve,Unknown,ojzrM8S06U2dTTKgCx8cag,fighting,Ennepetal
Microdosing,Bess,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,FALSE,TRUE,Selesnya,Leonardo Santanna,New Capenna,-ndYp2SlZ02sB5dSex_LFw,poison,Brighton
The Cure,Ixhel,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,FALSE,TRUE,Abzan,Campbell White,New Phyrexia,,phyrexian&poison,Ennepetal
On the Rebound,Rem&Vadrik,mid,2,0,0,2,LGS,TRUE,TRUE,FALSE,TRUE,FALSE,Jeskai,Francisco Miyara&Kieran Yanner,Innistrad&Innistrad,Rjc5B_ba50qEQzMrxM9Zzg,storm&convoke&pride,Brighton
Advanced Algebra,Ertha Jo,mid,0,0,0,0,Unfinished,TRUE,FALSE,FALSE,TRUE,FALSE,Boros,Michal Ivan,Zendikar,G9rP5vzP1ES7cGdQxcfDNw,maths&copy&ping,Brighton
At the Gates,Silvar&Trynn,mid,1,0,0,1,LGS,TRUE,FALSE,TRUE,TRUE,FALSE,Mardu,Jesper Ejsing&Jesper Ejsing,Ikoria,FAU1xSL6l0GsgBlNc3f7JQ,humans,Ennepetal
Sleep Through The Apocalypse,Archelos,mid,0,0,0,0,Unfinished,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Dan Murayama Scott,Bloomburrow,dVo-Yw1-x02eeyxdinXQCw,regenerate,Brighton
Thyreophora Combat Behaviour,Owen&Blue,mid,0,0,0,0,LGS,FALSE,TRUE,FALSE,TRUE,TRUE,Temur,Jaroslav Kosmina&Jaroslav Kosmina,Jurassic Park&Jurassic Park,GOKEr4tLOEWcedOt977e_g,fighting&dinosaurs,Brighton
Diplomatic Difficulties,Rowan&Will,high,8,2,1,6,Other,TRUE,TRUE,TRUE,TRUE,FALSE,Artifice,Abigail Larson&Matteo Marjoram,Eldraine&Eldraine,lMwlYDJ9C0y4g9CtCU7uQQ,pay life&lifegain&battles,Brighton
